task_id,resource_id,units
T002,R01,1.0
T003,R01,1.0
T004,R01,1.0
T004,R06,0.5
T005,R01,1.0
T005,R06,0.5
T007,R01,1.0
T008,R01,1.0
T009,R01,1.0
T009,R06,0.5
T010,R01,1.0
T010,R06,0.5
T012,R01,1.0
T013,R01,1.0
T014,R01,1.0
T014,R06,0.5
T015,R01,1.0
T015,R06,0.5
T017,R01,1.0
T018,R01,1.0
T019,R01,1.0
T019,R06,0.5
T020,R01,1.0
T020,R06,0.5
T022,R01,1.0
T023,R01,1.0
T024,R01,1.0
T024,R06,0.5
T025,R01,1.0
T025,R06,0.5
T027,R01,1.0
T028,R01,1.0
T029,R01,1.0
T029,R06,0.5
T030,R01,1.0
T030,R06,0.5
T032,R02,1.0
T033,R02,1.0
T034,R02,1.0
T034,R06,0.5
T035,R02,1.0
T035,R06,0.5
T037,R02,1.0
T038,R02,1.0
T039,R02,1.0
T039,R06,0.5
T040,R02,1.0
T040,R06,0.5
T042,R02,1.0
T043,R02,1.0
T044,R02,1.0
T044,R06,0.5
T045,R02,1.0
T045,R06,0.5
T047,R02,1.0
T048,R02,1.0
T049,R02,1.0
T049,R06,0.5
T050,R02,1.0
T050,R06,0.5
T052,R02,1.0
T053,R02,1.0
T054,R02,1.0
T054,R06,0.5
T055,R02,1.0
T055,R06,0.5
T057,R02,1.0
T058,R02,1.0
T059,R02,1.0
T059,R06,0.5
T060,R02,1.0
T060,R06,0.5
T062,R03,1.0
T063,R03,1.0
T064,R03,1.0
T064,R06,0.5
T065,R03,1.0
T065,R06,0.5
T067,R03,1.0
T068,R03,1.0
T069,R03,1.0
T069,R06,0.5
T070,R03,1.0
T070,R06,0.5
T072,R03,1.0
T073,R03,1.0
T074,R03,1.0
T074,R06,0.5
T075,R03,1.0
T075,R06,0.5
T077,R03,1.0
T078,R03,1.0
T079,R03,1.0
T079,R06,0.5
T080,R03,1.0
T080,R06,0.5
T082,R03,1.0
T083,R03,1.0
T084,R03,1.0
T084,R06,0.5
T085,R03,1.0
T085,R06,0.5
T087,R03,1.0
T088,R03,1.0
T089,R03,1.0
T089,R06,0.5
T090,R03,1.0
T090,R06,0.5
T092,R04,1.0
T093,R04,1.0
T094,R04,1.0
T094,R06,0.5
T095,R04,1.0
T095,R06,0.5
T097,R04,1.0
T098,R04,1.0
T099,R04,1.0
T099,R06,0.5
T100,R04,1.0
T100,R06,0.5
T102,R04,1.0
T103,R04,1.0
T104,R04,1.0
T104,R06,0.5
T105,R04,1.0
T105,R06,0.5
T107,R04,1.0
T108,R04,1.0
T109,R04,1.0
T109,R06,0.5
T110,R04,1.0
T110,R06,0.5
T112,R04,1.0
T113,R04,1.0
T114,R04,1.0
T114,R06,0.5
T115,R04,1.0
T115,R06,0.5
T117,R04,1.0
T118,R04,1.0
T119,R04,1.0
T119,R06,0.5
T120,R04,1.0
T120,R06,0.5
T122,R05,1.0
T123,R05,1.0
T124,R05,1.0
T124,R06,0.5
T125,R05,1.0
T125,R06,0.5
T127,R05,1.0
T128,R05,1.0
T129,R05,1.0
T129,R06,0.5
T130,R05,1.0
T130,R06,0.5
T132,R05,1.0
T133,R05,1.0
T134,R05,1.0
T134,R06,0.5
T135,R05,1.0
T135,R06,0.5
T137,R05,1.0
T138,R05,1.0
T139,R05,1.0
T139,R06,0.5
T140,R05,1.0
T140,R06,0.5
T142,R05,1.0
T143,R05,1.0
T144,R05,1.0
T144,R06,0.5
T145,R05,1.0
T145,R06,0.5
T147,R05,1.0
T148,R05,1.0
T149,R05,1.0
T149,R06,0.5
T150,R05,1.0
T150,R06,0.5
