pred,succ,type,lag
T002,T003,SS,2
T003,T004,FS,0
T002,T004,FF,0
T004,T005,FS,0
T002,T005,FS,0
T005,T006,FS,0
T007,T008,SS,2
T008,T009,FS,0
T007,T009,FF,0
T009,T010,FS,0
T007,T010,FS,0
T010,T011,FS,0
T012,T013,SS,2
T013,T014,FS,0
T012,T014,FF,0
T014,T015,FS,0
T012,T015,FS,0
T015,T016,FS,0
T017,T018,SS,2
T018,T019,FS,0
T017,T019,FF,0
T019,T020,FS,0
T017,T020,FS,0
T020,T021,FS,0
T022,T023,SS,2
T023,T024,FS,0
T022,T024,FF,0
T024,T025,FS,0
T022,T025,FS,0
T025,T026,FS,0
T027,T028,SS,2
T028,T029,FS,0
T027,T029,FF,0
T029,T030,FS,0
T027,T030,FS,0
T030,T031,FS,0
T032,T033,SS,2
T033,T034,FS,0
T032,T034,FF,0
T034,T035,FS,0
T032,T035,FS,0
T035,T036,FS,0
T037,T038,SS,2
T038,T039,FS,0
T037,T039,FF,0
T039,T040,FS,0
T037,T040,FS,0
T040,T041,FS,0
T042,T043,SS,2
T043,T044,FS,0
T042,T044,FF,0
T044,T045,FS,0
T042,T045,FS,0
T045,T046,FS,0
T047,T048,SS,2
T048,T049,FS,0
T047,T049,FF,0
T049,T050,FS,0
T047,T050,FS,0
T050,T051,FS,0
T052,T053,SS,2
T053,T054,FS,0
T052,T054,FF,0
T054,T055,FS,0
T052,T055,FS,0
T055,T056,FS,0
T057,T058,SS,2
T058,T059,FS,0
T057,T059,FF,0
T059,T060,FS,0
T057,T060,FS,0
T060,T061,FS,0
T062,T063,SS,2
T063,T064,FS,0
T062,T064,FF,0
T064,T065,FS,0
T062,T065,FS,0
T065,T066,FS,0
T067,T068,SS,2
T068,T069,FS,0
T067,T069,FF,0
T069,T070,FS,0
T067,T070,FS,0
T070,T071,FS,0
T072,T073,SS,2
T073,T074,FS,0
T072,T074,FF,0
T074,T075,FS,0
T072,T075,FS,0
T075,T076,FS,0
T077,T078,SS,2
T078,T079,FS,0
T077,T079,FF,0
T079,T080,FS,0
T077,T080,FS,0
T080,T081,FS,0
T082,T083,SS,2
T083,T084,FS,0
T082,T084,FF,0
T084,T085,FS,0
T082,T085,FS,0
T085,T086,FS,0
T087,T088,SS,2
T088,T089,FS,0
T087,T089,FF,0
T089,T090,FS,0
T087,T090,FS,0
T090,T091,FS,0
T092,T093,SS,2
T093,T094,FS,0
T092,T094,FF,0
T094,T095,FS,0
T092,T095,FS,0
T095,T096,FS,0
T097,T098,SS,2
T098,T099,FS,0
T097,T099,FF,0
T099,T100,FS,0
T097,T100,FS,0
T100,T101,FS,0
T102,T103,SS,2
T103,T104,FS,0
T102,T104,FF,0
T104,T105,FS,0
T102,T105,FS,0
T105,T106,FS,0
T107,T108,SS,2
T108,T109,FS,0
T107,T109,FF,0
T109,T110,FS,0
T107,T110,FS,0
T110,T111,FS,0
T112,T113,SS,2
T113,T114,FS,0
T112,T114,FF,0
T114,T115,FS,0
T112,T115,FS,0
T115,T116,FS,0
T117,T118,SS,2
T118,T119,FS,0
T117,T119,FF,0
T119,T120,FS,0
T117,T120,FS,0
T120,T121,FS,0
T122,T123,SS,2
T123,T124,FS,0
T122,T124,FF,0
T124,T125,FS,0
T122,T125,FS,0
T125,T126,FS,0
T127,T128,SS,2
T128,T129,FS,0
T127,T129,FF,0
T129,T130,FS,0
T127,T130,FS,0
T130,T131,FS,0
T132,T133,SS,2
T133,T134,FS,0
T132,T134,FF,0
T134,T135,FS,0
T132,T135,FS,0
T135,T136,FS,0
T137,T138,SS,2
T138,T139,FS,0
T137,T139,FF,0
T139,T140,FS,0
T137,T140,FS,0
T140,T141,FS,0
T142,T143,SS,2
T143,T144,FS,0
T142,T144,FF,0
T144,T145,FS,0
T142,T145,FS,0
T145,T146,FS,0
T147,T148,SS,2
T148,T149,FS,0
T147,T149,FF,0
T149,T150,FS,0
T147,T150,FS,0
T150,T151,FS,0
T001,T002,FS,0
T001,T007,FS,0
T006,T012,FS,0
T011,T017,FS,0
T016,T022,FS,0
T021,T027,FS,0
T006,T032,FS,0
T011,T037,FS,0
T036,T042,FS,0
T041,T047,FS,0
T046,T052,FS,0
T051,T057,FS,0
T001,T062,FS,0
T001,T067,FS,0
T066,T072,FS,0
T071,T077,FS,0
T076,T082,FS,0
T081,T087,FS,0
T026,T092,FS,0
T031,T092,FS,0
T056,T092,FS,0
T061,T092,FS,0
T026,T097,FS,0
T031,T097,FS,0
T056,T097,FS,0
T061,T097,FS,0
T096,T102,FS,0
T101,T107,FS,0
T106,T112,FS,0
T111,T117,FS,0
T116,T122,FS,0
T121,T122,FS,0
T086,T122,FS,0
T091,T122,FS,0
T116,T127,FS,0
T121,T127,FS,0
T086,T127,FS,0
T091,T127,FS,0
T126,T132,FS,0
T131,T137,FS,0
T136,T142,FS,0
T141,T147,FS,0
T146,T152,FS,0
T151,T152,FS,0
