trial,finish_day,finish_date
1,400.92500479342004,2027-10-19
2,390.2746311649036,2027-10-05
3,393.4569360990849,2027-10-08
4,384.4116842978462,2027-09-27
5,396.2115654451761,2027-10-13
6,386.6952285322381,2027-09-29
7,392.07375974650097,2027-10-07
8,391.69847870225215,2027-10-06
9,405.18692557764064,2027-10-26
10,398.227949082214,2027-10-15
11,392.6259135264031,2027-10-07
12,386.0540047343198,2027-09-29
13,389.6164974251545,2027-10-04
14,393.5557610153011,2027-10-08
15,386.6067769444641,2027-09-29
16,386.2824024261476,2027-09-29
17,393.0018113897086,2027-10-08
18,392.7276095872592,2027-10-07
19,394.3884047110659,2027-10-11
20,395.308409317525,2027-10-12
21,393.5174414903282,2027-10-08
22,395.17218982378597,2027-10-12
23,395.7927978150202,2027-10-12
24,390.61150825444423,2027-10-05
25,392.7544867917926,2027-10-07
26,391.2553254679226,2027-10-06
27,391.33374498368187,2027-10-06
28,395.5574213434794,2027-10-12
29,388.2847726002039,2027-10-01
30,390.15200669102,2027-10-05
31,388.1770588683377,2027-10-01
32,404.2816483192011,2027-10-25
33,390.0839175391825,2027-10-05
34,390.24664627819493,2027-10-05
35,388.7061023848837,2027-10-01
36,393.545758007836,2027-10-08
37,394.4413691377531,2027-10-11
38,392.1489998485578,2027-10-07
39,398.08204023476844,2027-10-15
40,394.60740449149415,2027-10-11
41,388.7210754387701,2027-10-01
42,388.963812770929,2027-10-01
43,396.55012397123386,2027-10-13
44,386.4219347412597,2027-09-29
45,389.6926108169324,2027-10-04
46,387.0489268008206,2027-09-30
47,386.0148423670604,2027-09-29
48,388.69882757969845,2027-10-01
49,392.29226714022394,2027-10-07
50,386.0607632185851,2027-09-29
51,393.6535369083172,2027-10-08
52,390.96123405511923,2027-10-05
53,409.75388615975976,2027-11-01
54,400.7452181107078,2027-10-19
55,389.967206427354,2027-10-04
56,388.63911536167495,2027-10-01
57,391.79493231903,2027-10-06
58,396.27345871539046,2027-10-13
59,396.9977626795069,2027-10-13
60,395.7232569622859,2027-10-12
61,397.19943087566537,2027-10-14
62,389.8926402202384,2027-10-04
63,394.6262968997632,2027-10-11
64,394.12926499838534,2027-10-11
65,396.52570667483286,2027-10-13
66,388.90169310883925,2027-10-01
67,400.7473588723938,2027-10-19
68,389.10739243603524,2027-10-04
69,394.42291138233236,2027-10-11
70,389.0555423830583,2027-10-04
71,389.6726574282447,2027-10-04
72,393.3290226215934,2027-10-08
73,394.4292257742044,2027-10-11
74,391.3388616521963,2027-10-06
75,397.60954715661813,2027-10-14
76,385.97068148075977,2027-09-28
77,393.8008434265049,2027-10-08
78,391.65501798203144,2027-10-06
79,399.9473884563299,2027-10-18
80,393.13063473199105,2027-10-08
81,394.9635648531175,2027-10-11
82,390.3088107413839,2027-10-05
83,392.50568688096934,2027-10-07
84,399.7590678187232,2027-10-18
85,396.12877470403475,2027-10-13
86,396.3437424889339,2027-10-13
87,390.1076776099998,2027-10-05
88,388.1151963831459,2027-10-01
89,390.7966527227209,2027-10-05
90,383.4745785036567,2027-09-24
91,388.05080788514346,2027-10-01
92,393.69530843293313,2027-10-08
93,392.33391159484864,2027-10-07
94,397.2985842315937,2027-10-14
95,389.18255013849,2027-10-04
96,395.9487567103912,2027-10-12
97,393.2293262963349,2027-10-08
98,396.5472342167869,2027-10-13
99,386.88049828367036,2027-09-29
100,398.35329894396745,2027-10-15
101,406.57345305635664,2027-10-27
102,400.02266178810527,2027-10-19
103,397.3706663520765,2027-10-14
104,399.2396313164772,2027-10-18
105,395.45993971308627,2027-10-12
106,392.53672810002314,2027-10-07
107,395.0144924808255,2027-10-12
108,388.31992367673115,2027-10-01
109,386.7985859358666,2027-09-29
110,390.42949478347936,2027-10-05
111,387.27273687276187,2027-09-30
112,385.443536637588,2027-09-28
113,402.6859430653229,2027-10-21
114,393.59055621792857,2027-10-08
115,390.6103624376729,2027-10-05
116,390.6061577991422,2027-10-05
117,392.6393247783137,2027-10-07
118,391.13668255719165,2027-10-06
119,382.47549097670304,2027-09-23
120,390.49101420877133,2027-10-05
121,393.87028397111163,2027-10-08
122,391.32725127625014,2027-10-06
123,390.240981346916,2027-10-05
124,391.2483031657847,2027-10-06
125,390.882029002449,2027-10-05
126,393.5744603701685,2027-10-08
127,388.77633661549567,2027-10-01
128,393.0672126170133,2027-10-08
129,391.4957444252546,2027-10-06
130,389.7695863622605,2027-10-04
131,390.6424430432694,2027-10-05
132,387.77384753485296,2027-09-30
133,395.05552368677695,2027-10-12
134,396.41276060438804,2027-10-13
135,393.8299221707676,2027-10-08
136,393.7601296885693,2027-10-08
137,395.11386388651414,2027-10-12
138,389.68972872759906,2027-10-04
139,393.1454621141488,2027-10-08
140,392.21624405295773,2027-10-07
141,392.5370360229879,2027-10-07
142,400.7066206703905,2027-10-19
143,389.8305045473575,2027-10-04
144,388.8783131261161,2027-10-01
145,393.57291089406624,2027-10-08
146,388.4784259359229,2027-10-01
147,397.0785261599521,2027-10-14
148,416.9683939290673,2027-11-10
149,394.18484501437706,2027-10-11
150,397.50083279443453,2027-10-14
151,400.9047480463284,2027-10-19
152,386.746885357198,2027-09-29
153,391.0524869903155,2027-10-06
154,393.8444040102327,2027-10-08
155,401.6360204596535,2027-10-20
156,388.52097873997127,2027-10-01
157,399.6468371534681,2027-10-18
158,396.41110230534093,2027-10-13
159,396.78164900781104,2027-10-13
160,390.38838736204156,2027-10-05
161,393.09169652243276,2027-10-08
162,388.97758358612913,2027-10-01
163,389.9203937981374,2027-10-04
164,400.1803135972033,2027-10-19
165,393.8539181027577,2027-10-08
166,389.6945324237861,2027-10-04
167,393.3798337653519,2027-10-08
168,394.5152156637264,2027-10-11
169,385.8311747838372,2027-09-28
170,386.49712467051125,2027-09-29
171,392.7198427620517,2027-10-07
172,394.8226858897676,2027-10-11
173,390.65526284304946,2027-10-05
174,391.34284049209543,2027-10-06
175,395.07067812380996,2027-10-12
176,392.58666071729215,2027-10-07
177,402.11938726422613,2027-10-21
178,382.908620825963,2027-09-23
179,393.4966620580816,2027-10-08
180,389.32879262464115,2027-10-04
181,386.32469652425044,2027-09-29
182,389.96817993824044,2027-10-04
183,387.8419822907776,2027-09-30
184,398.1067481775519,2027-10-15
185,385.80159409295715,2027-09-28
186,393.5833875595365,2027-10-08
187,388.2969730709922,2027-10-01
188,385.9233698101649,2027-09-28
189,400.4249583990221,2027-10-19
190,394.149995541819,2027-10-11
191,397.0462994287377,2027-10-14
192,396.094904378645,2027-10-13
193,396.5717352654448,2027-10-13
194,395.3604441851997,2027-10-12
195,394.5203627120557,2027-10-11
196,395.71975102844027,2027-10-12
197,394.54867961652735,2027-10-11
198,385.8410229918217,2027-09-28
199,395.1480303744652,2027-10-12
200,394.74869028386223,2027-10-11
201,396.4203251971951,2027-10-13
202,397.5248808963235,2027-10-14
203,395.55476708557455,2027-10-12
204,386.3776967231283,2027-09-29
205,391.2059081288528,2027-10-06
206,389.15688869476554,2027-10-04
207,397.98447716169255,2027-10-14
208,395.89807243511973,2027-10-12
209,391.1055861769418,2027-10-06
210,389.88550348685516,2027-10-04
211,397.34797162151915,2027-10-14
212,398.63598091076324,2027-10-15
213,404.386937417949,2027-10-25
214,390.3484841098072,2027-10-05
215,391.8654707904395,2027-10-06
216,395.49200674554373,2027-10-12
217,395.8959524927077,2027-10-12
218,393.2651976528438,2027-10-08
219,394.5851081464439,2027-10-11
220,396.8427592024112,2027-10-13
221,391.4088556685133,2027-10-06
222,388.8732709170156,2027-10-01
223,388.1837977401367,2027-10-01
224,391.42940558813575,2027-10-06
225,397.8354390888869,2027-10-14
226,384.67140538986126,2027-09-27
227,394.16989824570726,2027-10-11
228,388.1401119505784,2027-10-01
229,392.0119768040176,2027-10-07
230,400.0992199189571,2027-10-19
231,395.544398395127,2027-10-12
232,390.72459195840247,2027-10-05
233,395.39053080118885,2027-10-12
234,390.9356944225393,2027-10-05
235,395.28548472978537,2027-10-12
236,394.4365452730752,2027-10-11
237,389.2245265291202,2027-10-04
238,392.69266936159545,2027-10-07
239,403.0012408055799,2027-10-22
240,390.1401685527133,2027-10-05
241,396.5794300902037,2027-10-13
242,399.5348704177168,2027-10-18
243,404.3715347554114,2027-10-25
244,387.7498367291197,2027-09-30
245,389.60245089412956,2027-10-04
246,384.2226334240898,2027-09-27
247,401.1838882394197,2027-10-20
248,397.54938840127045,2027-10-14
249,392.67037015215146,2027-10-07
250,397.3573555110589,2027-10-14
251,394.1428892380945,2027-10-11
252,403.1738546532,2027-10-22
253,399.73175063806474,2027-10-18
254,388.59827716401054,2027-10-01
255,395.18993977631146,2027-10-12
256,394.9270979203787,2027-10-11
257,390.9960336786959,2027-10-05
258,391.60053081318347,2027-10-06
259,410.74509595494277,2027-11-02
260,388.51846812336527,2027-10-01
261,390.0316389477336,2027-10-05
262,383.24012507787194,2027-09-24
263,389.3274782380833,2027-10-04
264,401.31629761552375,2027-10-20
265,390.0507565922299,2027-10-05
266,383.4685385277116,2027-09-24
267,394.7736300880876,2027-10-11
268,394.7586124489395,2027-10-11
269,399.286594582474,2027-10-18
270,392.27438981423575,2027-10-07
271,395.9585239906395,2027-10-12
272,391.1882936311988,2027-10-06
273,393.7857178264081,2027-10-08
274,389.6492707136689,2027-10-04
275,399.09146263921247,2027-10-18
276,394.79240750942336,2027-10-11
277,392.0834380437523,2027-10-07
278,391.1114911482686,2027-10-06
279,400.2609722341131,2027-10-19
280,391.66194693832904,2027-10-06
281,394.2551538155974,2027-10-11
282,389.3576701097786,2027-10-04
283,401.21549554731854,2027-10-20
284,387.28186696756234,2027-09-30
285,390.6659653624051,2027-10-05
286,390.85108173265326,2027-10-05
287,397.243559168258,2027-10-14
288,391.1245155304,2027-10-06
289,400.97765032684276,2027-10-19
290,398.02863769366394,2027-10-15
291,394.4376434055846,2027-10-11
292,397.7437473496492,2027-10-14
293,395.14681530164256,2027-10-12
294,401.7094743694523,2027-10-20
295,398.96268364570545,2027-10-15
296,391.36398647483963,2027-10-06
297,393.80970861235426,2027-10-08
298,398.6892730624549,2027-10-15
299,400.3595668382597,2027-10-19
300,388.845413663714,2027-10-01
301,391.3350228257191,2027-10-06
302,395.4710730236022,2027-10-12
303,391.28800531122874,2027-10-06
304,389.6690675962611,2027-10-04
305,390.55701267381653,2027-10-05
306,393.8753433455225,2027-10-08
307,393.61638237604734,2027-10-08
308,393.9720853372603,2027-10-08
309,390.55045508628274,2027-10-05
310,396.666817442596,2027-10-13
311,389.88080402154935,2027-10-04
312,404.26617820683026,2027-10-25
313,390.21518251091294,2027-10-05
314,394.78331806030565,2027-10-11
315,393.63433977787247,2027-10-08
316,398.3939511758853,2027-10-15
317,395.93635210033574,2027-10-12
318,397.41664016219715,2027-10-14
319,392.63486688502405,2027-10-07
320,396.5599316582263,2027-10-13
321,407.06842529081115,2027-10-28
322,391.52041458131487,2027-10-06
323,389.03694679473347,2027-10-04
324,386.53870495823804,2027-09-29
325,397.1404162146745,2027-10-14
326,387.5771120319498,2027-09-30
327,394.6006876021853,2027-10-11
328,394.7948396820864,2027-10-11
329,396.59206652945716,2027-10-13
330,392.68364212142455,2027-10-07
331,390.0133395785091,2027-10-05
332,406.34055481726125,2027-10-27
333,395.8258726463434,2027-10-12
334,397.1902018089911,2027-10-14
335,385.60118573669877,2027-09-28
336,392.64977266056843,2027-10-07
337,407.217348458034,2027-10-28
338,392.6894621045427,2027-10-07
339,392.85255481190484,2027-10-07
340,391.39496632596564,2027-10-06
341,400.7504559466405,2027-10-19
342,396.2366513967064,2027-10-13
343,403.4422678773847,2027-10-22
344,392.5537932960378,2027-10-07
345,402.7349217420024,2027-10-21
346,396.0860213132598,2027-10-13
347,389.807472410014,2027-10-04
348,394.42871897220334,2027-10-11
349,394.08543148479504,2027-10-11
350,393.0927761318883,2027-10-08
351,393.6128060643346,2027-10-08
352,387.9815876596523,2027-09-30
353,398.4182529549009,2027-10-15
354,395.6296007368472,2027-10-12
355,392.8129944009912,2027-10-07
356,399.8349855462555,2027-10-18
357,393.7009179466476,2027-10-08
358,397.77817387538164,2027-10-14
359,395.18593386791093,2027-10-12
360,391.2921794178148,2027-10-06
