resource_id,day,demand_fte,task_ids,capacity_fte,excess_fte,date
R02,119,3.0,T052;T053;T058,1.5,1.5,2026-09-18
R02,120,2.0,T053;T058,1.5,0.5,2026-09-21
R02,121,2.0,T053;T058,1.5,0.5,2026-09-22
R02,122,2.0,T053;T058,1.5,0.5,2026-09-23
R02,123,2.0,T053;T058,1.5,0.5,2026-09-24
R02,124,2.0,T053;T058,1.5,0.5,2026-09-25
R02,125,2.0,T053;T058,1.5,0.5,2026-09-28
R02,126,2.0,T053;T058,1.5,0.5,2026-09-29
R02,127,2.0,T053;T058,1.5,0.5,2026-09-30
R02,128,2.0,T054;T058,1.5,0.5,2026-10-01
R02,129,2.0,T054;T058,1.5,0.5,2026-10-02
R02,130,2.0,T054;T058,1.5,0.5,2026-10-05
R02,131,2.0,T054;T058,1.5,0.5,2026-10-06
R02,132,2.0,T054;T058,1.5,0.5,2026-10-07
R02,133,2.0,T054;T058,1.5,0.5,2026-10-08
R02,134,2.0,T054;T058,1.5,0.5,2026-10-09
R02,135,2.0,T054;T058,1.5,0.5,2026-10-12
R02,136,2.0,T054;T058,1.5,0.5,2026-10-13
R02,137,2.0,T054;T058,1.5,0.5,2026-10-14
R02,138,2.0,T054;T058,1.5,0.5,2026-10-15
R02,139,2.0,T055;T058,1.5,0.5,2026-10-16
R02,140,2.0,T055;T058,1.5,0.5,2026-10-19
R02,141,2.0,T055;T058,1.5,0.5,2026-10-20
R02,142,2.0,T055;T058,1.5,0.5,2026-10-21
R02,143,2.0,T055;T058,1.5,0.5,2026-10-22
R02,144,2.0,T055;T059,1.5,0.5,2026-10-23
R02,145,2.0,T055;T059,1.5,0.5,2026-10-26
R02,146,2.0,T055;T059,1.5,0.5,2026-10-27
R04,165,2.0,T092;T097,1.5,0.5,2026-11-23
R04,166,2.0,T092;T097,1.5,0.5,2026-11-24
R04,167,4.0,T092;T093;T097;T098,1.5,2.5,2026-11-25
R04,168,4.0,T092;T093;T097;T098,1.5,2.5,2026-11-26
R04,169,4.0,T092;T093;T097;T098,1.5,2.5,2026-11-27
R04,170,4.0,T092;T093;T097;T098,1.5,2.5,2026-11-30
R04,171,4.0,T092;T093;T097;T098,1.5,2.5,2026-12-01
R04,172,4.0,T092;T093;T097;T098,1.5,2.5,2026-12-02
R04,173,3.0,T092;T093;T098,1.5,1.5,2026-12-03
R04,174,3.0,T092;T093;T098,1.5,1.5,2026-12-04
R04,175,2.0,T093;T098,1.5,0.5,2026-12-07
R04,176,2.0,T093;T098,1.5,0.5,2026-12-08
R04,177,2.0,T093;T098,1.5,0.5,2026-12-09
R04,178,2.0,T093;T098,1.5,0.5,2026-12-10
R04,179,2.0,T093;T098,1.5,0.5,2026-12-11
R04,180,2.0,T093;T098,1.5,0.5,2026-12-14
R04,181,2.0,T093;T099,1.5,0.5,2026-12-15
R04,182,2.0,T093;T099,1.5,0.5,2026-12-16
R04,183,2.0,T094;T099,1.5,0.5,2026-12-17
R04,184,2.0,T094;T099,1.5,0.5,2026-12-18
R04,185,2.0,T094;T099,1.5,0.5,2026-12-21
R04,186,2.0,T094;T099,1.5,0.5,2026-12-22
R04,187,2.0,T094;T099,1.5,0.5,2026-12-23
R04,188,2.0,T094;T099,1.5,0.5,2026-12-24
R04,189,2.0,T094;T099,1.5,0.5,2026-12-25
R04,190,2.0,T094;T099,1.5,0.5,2026-12-28
R04,191,2.0,T094;T100,1.5,0.5,2026-12-29
R04,192,2.0,T094;T100,1.5,0.5,2026-12-30
R04,193,2.0,T094;T100,1.5,0.5,2026-12-31
R04,194,2.0,T094;T100,1.5,0.5,2027-01-01
R04,195,2.0,T095;T100,1.5,0.5,2027-01-04
R04,196,2.0,T095;T100,1.5,0.5,2027-01-05
R04,197,2.0,T095;T100,1.5,0.5,2027-01-06
R04,198,2.0,T095;T107,1.5,0.5,2027-01-07
R04,199,2.0,T095;T107,1.5,0.5,2027-01-08
R04,200,3.0,T095;T107;T108,1.5,1.5,2027-01-11
R04,201,3.0,T095;T107;T108,1.5,1.5,2027-01-12
R04,202,3.0,T095;T107;T108,1.5,1.5,2027-01-13
R04,203,3.0,T095;T107;T108,1.5,1.5,2027-01-14
R04,204,3.0,T102;T107;T108,1.5,1.5,2027-01-15
R04,205,3.0,T102;T107;T108,1.5,1.5,2027-01-18
R04,206,4.0,T102;T103;T107;T108,1.5,2.5,2027-01-19
R04,207,4.0,T102;T103;T107;T108,1.5,2.5,2027-01-20
R04,208,3.0,T102;T103;T108,1.5,1.5,2027-01-21
R04,209,3.0,T102;T103;T108,1.5,1.5,2027-01-22
R04,210,3.0,T102;T103;T108,1.5,1.5,2027-01-25
R04,211,3.0,T102;T103;T108,1.5,1.5,2027-01-26
R04,212,3.0,T102;T103;T108,1.5,1.5,2027-01-27
R04,213,2.0,T103;T108,1.5,0.5,2027-01-28
R04,214,2.0,T103;T108,1.5,0.5,2027-01-29
R04,215,2.0,T103;T108,1.5,0.5,2027-02-01
R04,216,2.0,T103;T109,1.5,0.5,2027-02-02
R04,217,2.0,T103;T109,1.5,0.5,2027-02-03
R04,218,2.0,T103;T109,1.5,0.5,2027-02-04
R04,219,2.0,T103;T109,1.5,0.5,2027-02-05
R04,220,2.0,T103;T109,1.5,0.5,2027-02-08
R04,221,2.0,T104;T109,1.5,0.5,2027-02-09
R04,222,2.0,T104;T109,1.5,0.5,2027-02-10
R04,223,2.0,T104;T109,1.5,0.5,2027-02-11
R04,224,2.0,T104;T109,1.5,0.5,2027-02-12
R04,225,2.0,T104;T109,1.5,0.5,2027-02-15
R04,226,2.0,T104;T109,1.5,0.5,2027-02-16
R04,227,2.0,T104;T109,1.5,0.5,2027-02-17
R04,228,2.0,T104;T110,1.5,0.5,2027-02-18
R04,229,2.0,T104;T110,1.5,0.5,2027-02-19
R04,230,2.0,T104;T110,1.5,0.5,2027-02-22
R04,231,2.0,T104;T110,1.5,0.5,2027-02-23
R04,232,2.0,T105;T110,1.5,0.5,2027-02-24
R04,233,2.0,T105;T110,1.5,0.5,2027-02-25
R04,234,2.0,T105;T110,1.5,0.5,2027-02-26
R04,235,2.0,T105;T110,1.5,0.5,2027-03-01
R04,236,2.0,T105;T110,1.5,0.5,2027-03-02
R04,237,2.0,T105;T117,1.5,0.5,2027-03-03
R04,238,2.0,T105;T117,1.5,0.5,2027-03-04
R04,239,3.0,T105;T117;T118,1.5,1.5,2027-03-05
R04,240,3.0,T112;T117;T118,1.5,1.5,2027-03-08
R04,241,3.0,T112;T117;T118,1.5,1.5,2027-03-09
R04,242,4.0,T112;T113;T117;T118,1.5,2.5,2027-03-10
R04,243,4.0,T112;T113;T117;T118,1.5,2.5,2027-03-11
R04,244,4.0,T112;T113;T117;T118,1.5,2.5,2027-03-12
R04,245,4.0,T112;T113;T117;T118,1.5,2.5,2027-03-15
R04,246,3.0,T112;T113;T118,1.5,1.5,2027-03-16
R04,247,3.0,T112;T113;T118,1.5,1.5,2027-03-17
R04,248,2.0,T113;T118,1.5,0.5,2027-03-18
R04,249,2.0,T113;T118,1.5,0.5,2027-03-19
R04,250,2.0,T113;T118,1.5,0.5,2027-03-22
R04,251,2.0,T113;T118,1.5,0.5,2027-03-23
R04,252,2.0,T113;T118,1.5,0.5,2027-03-24
R04,253,2.0,T113;T118,1.5,0.5,2027-03-25
R04,254,2.0,T113;T119,1.5,0.5,2027-03-26
R04,255,2.0,T113;T119,1.5,0.5,2027-03-29
R04,256,2.0,T114;T119,1.5,0.5,2027-03-30
R04,257,2.0,T114;T119,1.5,0.5,2027-03-31
R04,258,2.0,T114;T119,1.5,0.5,2027-04-01
R04,259,2.0,T114;T119,1.5,0.5,2027-04-02
R04,260,2.0,T114;T119,1.5,0.5,2027-04-05
R04,261,2.0,T114;T119,1.5,0.5,2027-04-06
R04,262,2.0,T114;T119,1.5,0.5,2027-04-07
R04,263,2.0,T114;T119,1.5,0.5,2027-04-08
R04,264,2.0,T114;T119,1.5,0.5,2027-04-09
R04,265,2.0,T114;T120,1.5,0.5,2027-04-12
R04,266,2.0,T115;T120,1.5,0.5,2027-04-13
R04,267,2.0,T115;T120,1.5,0.5,2027-04-14
R04,268,2.0,T115;T120,1.5,0.5,2027-04-15
R04,269,2.0,T115;T120,1.5,0.5,2027-04-16
R04,270,2.0,T115;T120,1.5,0.5,2027-04-19
R04,271,2.0,T115;T120,1.5,0.5,2027-04-20
R04,272,2.0,T115;T120,1.5,0.5,2027-04-21
R05,275,4.0,T122;T123;T127;T128,2.0,2.0,2027-04-26
R05,276,4.0,T122;T123;T127;T128,2.0,2.0,2027-04-27
R05,277,4.0,T122;T123;T127;T128,2.0,2.0,2027-04-28
R05,278,4.0,T122;T123;T127;T128,2.0,2.0,2027-04-29
R05,279,4.0,T122;T123;T127;T128,2.0,2.0,2027-04-30
R05,280,4.0,T122;T123;T127;T128,2.0,2.0,2027-05-03
R05,281,3.0,T123;T127;T128,2.0,1.0,2027-05-04
R05,308,3.0,T130;T132;T133,2.0,1.0,2027-06-10
R05,309,3.0,T132;T133;T137,2.0,1.0,2027-06-11
R05,310,3.0,T132;T133;T137,2.0,1.0,2027-06-14
R05,311,4.0,T132;T133;T137;T138,2.0,2.0,2027-06-15
R05,312,4.0,T132;T133;T137;T138,2.0,2.0,2027-06-16
R05,313,4.0,T132;T133;T137;T138,2.0,2.0,2027-06-17
R05,314,4.0,T132;T133;T137;T138,2.0,2.0,2027-06-18
R05,315,4.0,T132;T133;T137;T138,2.0,2.0,2027-06-21
R05,316,3.0,T133;T137;T138,2.0,1.0,2027-06-22
R05,344,3.0,T135;T147;T148,2.0,1.0,2027-07-30
R05,345,3.0,T142;T147;T148,2.0,1.0,2027-08-02
R05,346,3.0,T142;T147;T148,2.0,1.0,2027-08-03
R05,347,4.0,T142;T143;T147;T148,2.0,2.0,2027-08-04
R05,348,4.0,T142;T143;T147;T148,2.0,2.0,2027-08-05
R05,349,4.0,T142;T143;T147;T148,2.0,2.0,2027-08-06
R05,350,4.0,T142;T143;T147;T148,2.0,2.0,2027-08-09
R05,351,4.0,T142;T143;T147;T148,2.0,2.0,2027-08-10
R05,352,3.0,T142;T143;T148,2.0,1.0,2027-08-11
R05,353,3.0,T142;T143;T148,2.0,1.0,2027-08-12
