id,wbs,name,phase,work_package,duration,remaining,percent_complete,actual_start,actual_finish,constraint,constraint_date,notes,low_factor,high_factor,baseline_start,baseline_finish,current_start,current_finish
T001,0,Program authorization,Program,Authorization,0,0,100,2026-04-06,2026-04-06,ASAP,,Fictional planning estimate,0.85,1.25,2026-04-06,2026-04-06,2026-04-06,2026-04-06
T002,1.1.1,Airframe definition: Define requirements,Engineering,Airframe definition,10,0,100,2026-04-06,2026-04-20,ASAP,,Fictional planning estimate,0.85,1.25,2026-04-06,2026-04-20,2026-04-06,2026-04-20
T003,1.1.2,Airframe definition: Develop design,Engineering,Airframe definition,16,0,100,2026-04-08,2026-04-30,ASAP,,Fictional planning estimate,0.85,1.25,2026-04-08,2026-04-30,2026-04-08,2026-04-30
T004,1.1.3,Airframe definition: Review analysis,Engineering,Airframe definition,12,0,100,2026-04-30,2026-05-18,ASAP,,Fictional planning estimate,0.85,1.25,2026-04-30,2026-05-18,2026-04-30,2026-05-18
T005,1.1.4,Airframe definition: Resolve findings,Engineering,Airframe definition,9,0,100,2026-05-18,2026-05-29,ASAP,,Fictional planning estimate,0.85,1.25,2026-05-18,2026-05-29,2026-05-18,2026-05-29
T006,1.1.5,Airframe definition: Approval gate,Engineering,Airframe definition,0,0,100,2026-05-29,2026-05-29,ASAP,,Fictional planning estimate,0.85,1.25,2026-05-29,2026-05-29,2026-05-29,2026-05-29
T007,1.2.1,Power and thermal: Define requirements,Engineering,Power and thermal,8,0,100,2026-04-06,2026-04-16,ASAP,,Fictional planning estimate,0.85,1.25,2026-04-06,2026-04-16,2026-04-06,2026-04-16
T008,1.2.2,Power and thermal: Develop design,Engineering,Power and thermal,14,0,100,2026-04-08,2026-04-28,ASAP,,Fictional planning estimate,0.85,1.25,2026-04-08,2026-04-28,2026-04-08,2026-04-28
T009,1.2.3,Power and thermal: Review analysis,Engineering,Power and thermal,10,0,100,2026-04-28,2026-05-12,ASAP,,Fictional planning estimate,0.85,1.25,2026-04-28,2026-05-12,2026-04-28,2026-05-12
T010,1.2.4,Power and thermal: Resolve findings,Engineering,Power and thermal,7,0,100,2026-05-12,2026-05-21,ASAP,,Fictional planning estimate,0.85,1.25,2026-05-12,2026-05-21,2026-05-12,2026-05-21
T011,1.2.5,Power and thermal: Approval gate,Engineering,Power and thermal,0,0,100,2026-05-21,2026-05-21,ASAP,,Fictional planning estimate,0.85,1.25,2026-05-21,2026-05-21,2026-05-21,2026-05-21
T012,1.3.1,Avionics architecture: Define requirements,Engineering,Avionics architecture,9,0,100,2026-05-29,2026-06-11,ASAP,,Fictional planning estimate,0.85,1.25,2026-05-29,2026-06-11,2026-05-29,2026-06-11
T013,1.3.2,Avionics architecture: Develop design,Engineering,Avionics architecture,15,0,100,2026-06-02,2026-06-23,ASAP,,Fictional planning estimate,0.85,1.25,2026-06-02,2026-06-23,2026-06-02,2026-06-23
T014,1.3.3,Avionics architecture: Review analysis,Engineering,Avionics architecture,11,0,100,2026-06-23,2026-07-08,ASAP,,Fictional planning estimate,0.85,1.25,2026-06-23,2026-07-08,2026-06-23,2026-07-08
T015,1.3.4,Avionics architecture: Resolve findings,Engineering,Avionics architecture,8,0,100,2026-07-08,2026-07-20,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-08,2026-07-20,2026-07-08,2026-07-20
T016,1.3.5,Avionics architecture: Approval gate,Engineering,Avionics architecture,0,0,100,2026-07-20,2026-07-20,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-20,2026-07-20,2026-07-20,2026-07-20
T017,1.4.1,Structural substantiation: Define requirements,Engineering,Structural substantiation,10,0,100,2026-05-21,2026-06-04,ASAP,,Fictional planning estimate,0.85,1.25,2026-05-21,2026-06-04,2026-05-21,2026-06-04
T018,1.4.2,Structural substantiation: Develop design,Engineering,Structural substantiation,16,0,100,2026-05-25,2026-06-16,ASAP,,Fictional planning estimate,0.85,1.25,2026-05-25,2026-06-16,2026-05-25,2026-06-16
T019,1.4.3,Structural substantiation: Review analysis,Engineering,Structural substantiation,12,0,100,2026-06-16,2026-07-02,ASAP,,Fictional planning estimate,0.85,1.25,2026-06-16,2026-07-02,2026-06-16,2026-07-02
T020,1.4.4,Structural substantiation: Resolve findings,Engineering,Structural substantiation,9,0,100,2026-07-02,2026-07-15,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-02,2026-07-15,2026-07-02,2026-07-15
T021,1.4.5,Structural substantiation: Approval gate,Engineering,Structural substantiation,0,0,100,2026-07-15,2026-07-15,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-15,2026-07-15,2026-07-15,2026-07-15
T022,1.5.1,Prototype integration: Define requirements,Engineering,Prototype integration,8,0,100,2026-07-20,2026-07-30,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-20,2026-07-30,2026-07-20,2026-07-30
T023,1.5.2,Prototype integration: Develop design,Engineering,Prototype integration,14,0,100,2026-07-22,2026-08-11,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-22,2026-08-11,2026-07-22,2026-08-11
T024,1.5.3,Prototype integration: Review analysis,Engineering,Prototype integration,10,0,100,2026-08-11,2026-08-25,ASAP,,Fictional planning estimate,0.85,1.25,2026-08-11,2026-08-25,2026-08-11,2026-08-25
T025,1.5.4,Prototype integration: Resolve findings,Engineering,Prototype integration,7,0,100,2026-08-25,2026-09-03,ASAP,,Fictional planning estimate,0.85,1.25,2026-08-25,2026-09-03,2026-08-25,2026-09-03
T026,1.5.5,Prototype integration: Approval gate,Engineering,Prototype integration,0,0,100,2026-09-03,2026-09-03,ASAP,,Fictional planning estimate,0.85,1.25,2026-09-03,2026-09-03,2026-09-03,2026-09-03
T027,1.6.1,Design acceptance: Define requirements,Engineering,Design acceptance,9,0,100,2026-07-15,2026-07-28,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-15,2026-07-28,2026-07-15,2026-07-28
T028,1.6.2,Design acceptance: Develop design,Engineering,Design acceptance,15,0,100,2026-07-17,2026-08-07,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-17,2026-08-07,2026-07-17,2026-08-07
T029,1.6.3,Design acceptance: Review analysis,Engineering,Design acceptance,11,0,100,2026-08-07,2026-08-24,ASAP,,Fictional planning estimate,0.85,1.25,2026-08-07,2026-08-24,2026-08-07,2026-08-24
T030,1.6.4,Design acceptance: Resolve findings,Engineering,Design acceptance,8,0,100,2026-08-24,2026-09-03,ASAP,,Fictional planning estimate,0.85,1.25,2026-08-24,2026-09-03,2026-08-24,2026-09-03
T031,1.6.5,Design acceptance: Approval gate,Engineering,Design acceptance,0,0,100,2026-09-03,2026-09-03,ASAP,,Fictional planning estimate,0.85,1.25,2026-09-03,2026-09-03,2026-09-03,2026-09-03
T032,2.1.1,Platform services: Specify interfaces,Software,Platform services,8,0,100,2026-05-29,2026-06-10,ASAP,,Fictional planning estimate,0.85,1.25,2026-05-29,2026-06-10,2026-05-29,2026-06-10
T033,2.1.2,Platform services: Implement module,Software,Platform services,14,0,100,2026-06-02,2026-06-22,ASAP,,Fictional planning estimate,0.85,1.25,2026-06-02,2026-06-22,2026-06-02,2026-06-22
T034,2.1.3,Platform services: Verify integration,Software,Platform services,10,0,100,2026-06-22,2026-07-06,ASAP,,Fictional planning estimate,0.85,1.25,2026-06-22,2026-07-06,2026-06-22,2026-07-06
T035,2.1.4,Platform services: Close defects,Software,Platform services,7,0,100,2026-07-06,2026-07-15,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-06,2026-07-15,2026-07-06,2026-07-15
T036,2.1.5,Platform services: Release gate,Software,Platform services,0,0,100,2026-07-15,2026-07-15,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-15,2026-07-15,2026-07-15,2026-07-15
